Country,Happy,Economy,Family,Health,Freedom,Generous,Trust ,Year
Dominican Republic,5.433215618,9.626997948,0.861986339,65.80000305,0.866641581,-0.150951296,0.76227355,2018
Dominican Republic,5.689199924,9.664880753,0.882085383,65.80748749,0.866202772,-0.131263286,0.755999923,2019
Ecuador,5.964075089,9.282580376,0.855889201,67.59999847,0.800870478,-0.117339171,0.665827513,2015
Ecuador,6.115437508,9.251891136,0.842352092,67.90000153,0.846336305,-0.018464431,0.774084151,2016
Ecuador,5.839518547,9.266903877,0.848941743,68.19999695,0.879128158,-0.170977935,0.733588755,2017
Ecuador,6.128010273,9.27445507,0.851345003,68.5,0.869363725,-0.104021087,0.830743194,2018
Ecuador,5.925199986,9.246058464,0.836418986,68.50003815,0.859828949,-0.127014965,0.801215112,2019
Egypt,4.762538433,9.219856262,0.729744256,60.79999924,0.659261465,-0.095742442,0.684498072,2015
Egypt,4.556740761,9.242236137,0.809218585,61.09999847,0.655845225,-0.148785099,0.817527413,2016
Egypt,3.929344177,9.263900757,0.63822639,61.40000153,0.592504799,-0.159880474,,2017
Egypt,4.005450726,9.293959618,0.75882405,61.70000076,0.681654453,-0.222929537,,2018
Egypt,4.151400089,9.316541672,0.735447824,61.78015137,0.708354175,-0.196878314,0.787726879,2019
El Salvador,6.018496037,8.856460571,0.790755391,65.19999695,0.733355939,-0.154915765,0.80454427,2015
El Salvador,6.139824867,8.876843452,0.793659985,65.5,0.799847007,-0.183699355,0.797312021,2016
El Salvador,6.339318275,8.8945961,0.82895261,65.80000305,0.757827342,-0.170792967,0.777748585,2017
El Salvador,6.276246071,8.911958694,0.823999166,66.09999847,0.863207281,-0.096786909,0.826600015,2018
El Salvador,6.34829998,8.909075737,0.806092262,66.10826111,0.833805263,-0.121072978,0.754319906,2019
Estonia,5.628908634,10.22374249,0.917929649,68,0.814692378,-0.16834341,0.568734467,2015
Estonia,5.649675369,10.24387455,0.937715113,68.19999695,0.842770696,-0.153377563,0.639085293,2016
Estonia,5.938395977,10.29150963,0.93568635,68.40000153,0.861749232,-0.104597919,0.668402255,2017
Estonia,6.091302395,10.32410717,0.932693779,68.59999847,0.885618389,-0.144664913,0.620677948,2018
Estonia,6.021800041,10.34001732,0.934729993,68.60495758,0.87770915,-0.111697771,0.623073816,2019
Ethiopia,4.573154926,7.335052013,0.625596821,57,0.802642584,0.118701845,0.56702733,2015
Ethiopia,4.297848701,7.382928848,0.718718708,57.5,0.744307697,0.04536299,0.702880859,2016
Ethiopia,4.180315495,7.455834389,0.73353976,58,0.717101216,0.007518843,0.75689894,2017
Ethiopia,4.379262447,7.524516582,0.740154505,58.5,0.740343094,0.043273505,0.799466252,2018
Ethiopia,4.186200142,7.509385586,0.743307352,58.63959122,0.740795195,0.043377332,0.753690004,2019
Finland,7.447925568,10.56982231,0.947800577,71.59999847,0.929861903,0.10706687,0.223369658,2015
Finland,7.659843445,10.58807755,0.953940451,71.69999695,0.948372185,-0.030627485,0.249659568,2016
Finland,7.788251877,10.61117172,0.963826418,71.80000305,0.962198973,-0.005695975,0.192412779,2017
Finland,7.85810709,10.63605976,0.962155044,71.90000153,0.937807381,-0.131735161,0.198604837,2018
Finland,7.808700085,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,2019
France,6.357625008,10.53917408,0.895719409,73.19999695,0.817036211,-0.143634379,0.640602052,2015
France,6.475208759,10.54698849,0.884922922,73.40000153,0.786780477,-0.095642865,0.622697055,2016
France,6.635222435,10.56115437,0.931494594,73.59999847,0.83389014,-0.127377018,0.601486027,2017
France,6.665903568,10.57335186,0.921463072,73.80000305,0.816377223,-0.141567126,0.581775308,2018
France,6.663799763,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,2019
Gabon,4.66101265,9.731321335,0.755861998,58.20000076,0.671300709,-0.21146743,0.86677748,2015
Gabon,4.831764221,9.726552963,0.780048966,58.70000076,0.698942363,-0.222279608,0.816563547,2016
Gabon,4.782382965,9.714891434,0.806941152,59.20000076,0.652359545,-0.247073993,0.868305504,2017
Gabon,4.783009052,9.718316078,0.78482759,59.70000076,0.719135404,-0.217487514,0.82286346,2018
Gabon,4.829299927,9.680537224,0.787886858,59.71533966,0.704829216,-0.222261623,0.849150956,2019
Gambia,4.117938995,7.353572845,0.697001517,54.70000076,0.812325835,0.126379773,0.571615577,2017
Gambia,4.922099113,7.376553535,0.684799969,55,0.718728781,,0.691069543,2018
Gambia,4.750599861,7.321814537,0.6931687,55.0120163,0.733163178,0.343198717,0.690717816,2019
Georgia,4.121940613,9.107768059,0.517371595,65.09999847,0.639944971,-0.191066504,0.50241679,2015
Georgia,4.448386192,9.135268211,0.533412278,64.90000153,0.606468379,-0.235489741,0.560924053,2016
Georgia,4.45077467,9.18451786,0.590495169,64.69999695,0.820908785,-0.230505854,0.589631975,2017
Georgia,4.659097195,9.229100227,0.617218554,64.5,0.7751441,-0.219247594,0.754853785,2018
Georgia,4.672599792,9.226100922,0.629033029,64.49520874,0.801641524,-0.22892037,0.665944695,2019
Germany,7.037137508,10.69053364,0.925923228,71.30000305,0.889428854,0.173545972,0.412168294,2015
Germany,6.873763084,10.70171165,0.906029284,71.59999847,0.870515049,0.144377634,0.445922136,2016
Germany,7.074324608,10.71949959,0.892166078,71.90000153,0.840727866,0.141375408,0.414021194,2017
Germany,7.118364334,10.73094463,0.919763148,72.19999695,0.8768875,0.030199649,0.495673954,2018
Germany,7.075799942,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031,2019
Ghana,3.985916138,8.275556564,0.687448561,56,0.852016151,-0.033512827,0.94543612,2015
Ghana,4.514411449,8.289732933,0.647303164,56.40000153,0.75116837,0.094167918,0.893955231,2016
Ghana,5.481310844,8.349396706,0.669111073,56.79999924,0.783046365,0.082861453,0.838609993,2017
Ghana,5.147999763,8.350645065,0.728601098,57.20398712,0.794796526,0.094170853,0.847964764,2019
Greece,5.622519016,10.09288025,0.834824681,71.80000305,0.531736314,-0.27328527,0.823959649,2015
Greece,5.302619457,10.09459305,0.802605867,72,0.481616855,-0.26143381,0.898470819,2016
Greece,5.14824152,10.10945988,0.752899528,72.19999695,0.438300014,-0.291227311,0.87223947,2017
Greece,5.40928936,10.13205814,0.793500781,72.40000153,0.564455688,-0.336384535,0.860302389,2018
Greece,5.514999866,10.13232613,0.814380348,72.40525818,0.541345119,-0.300907373,0.859931409,2019
Guatemala,6.464986801,8.894631386,0.822837472,63.90000153,0.868639767,0.049555305,0.821654916,2015
Guatemala,6.358916283,8.904984474,0.811235487,64.19999695,0.862675726,0.009652504,0.812030017,2016
Guatemala,6.325118542,8.912446976,0.826492071,64.5,0.914521694,-0.059932403,0.799747884,2017
Guatemala,6.626591682,8.923428535,0.841107249,64.80000305,0.909538031,-0.011167034,0.765454412,2018
Guatemala,6.398900032,8.924805641,0.816621482,64.8089447,0.908147573,-0.042938665,0.783237457,2019
Guinea,3.504693508,7.472111702,0.578859627,51.09999847,0.66595304,0.013805361,0.762152016,2015
Guinea,3.602854729,7.54667902,0.675447047,52.20000076,0.725685179,-0.049161837,0.802781165,2016
Guinea,4.873722553,7.600365162,0.634025574,53.29999924,0.738212824,0.046024639,0.750026226,2017
Guinea,5.25222683,7.633718014,0.630433142,54.40000153,0.731157243,0.100011282,0.778393805,2018
Guinea,4.949299812,7.750990391,0.637573481,54.46780014,0.706846774,0.076328471,0.761794448,2019
Haiti,3.569762468,7.409274578,0.56431967,55.09999847,0.398295492,0.305790871,0.777403951,2015
Haiti,3.352300167,7.411055088,0.58374244,55.29999924,0.303540409,0.291111082,0.838523149,2016
Haiti,3.823865652,7.410451412,0.646984994,55.5,0.484429151,0.380740523,0.647191584,2017
Haiti,3.614928007,7.416091919,0.537975907,55.70000076,0.591468394,0.420986384,0.720444739,2018
Haiti,3.720799923,7.411329269,0.593247831,55.59862518,0.537825167,0.40053457,0.684767246,2019
Honduras,4.845436573,8.370887756,0.772375524,66.59999847,0.534057677,-0.090287246,0.848082721,2015
Honduras,5.648154736,8.390897751,0.773909986,66.80000305,0.850046694,0.086563937,0.792875171,2016
Honduras,6.019985676,8.421077728,0.84335494,67,0.898377419,0.078603566,0.783429444,2017
Honduras,5.908423901,8.439203262,0.827067018,67.19999695,0.872161686,0.105728693,0.803564787,2018
Honduras,5.953199863,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,0.801131904,2019
Hong Kong S.A.R. of China,5.498420715,10.90435696,0.83207792,75.95350647,0.799743414,0.089243069,0.40281257,2016
Hong Kong S.A.R. of China,5.362474918,10.9340868,0.83106631,75.90731812,0.830657244,0.128979281,0.415810198,2017
Hong Kong S.A.R. of China,5.510399818,10.9346714,0.845969081,76.77170563,0.779833794,0.134979904,0.420607209,2019
Hungary,5.34438324,10.12800789,0.858733833,66.40000153,0.557721376,-0.204279527,0.907530308,2015
Hungary,5.448901653,10.15285015,0.899511576,66.80000305,0.55395174,-0.19341144,0.924185812,2016
Hungary,6.065038681,10.19531918,0.876747549,67.19999695,0.661165953,-0.145813331,0.886361301,2017
Hungary,6.000400066,10.24924374,0.921934128,67.60997009,0.718964577,-0.194323018,0.892916501,2019
Iceland,7.498070717,10.67007351,0.980283201,73,0.94048512,0.298925996,0.638661802,2015
Iceland,7.510034561,10.7283411,0.984940052,73,0.951609552,0.278244555,0.719299555,2016
Iceland,7.476213932,10.74684143,0.966752827,73,0.938783288,0.243323684,0.726845384,2017
Iceland,7.504499912,10.77255917,0.974669576,73,0.948891878,0.246944219,0.711709738,2019
India,4.342079163,8.65811348,0.61013329,58.90000153,0.777225256,-0.017724538,0.776434958,2015
India,4.179177284,8.715342522,0.613529384,59.29999924,0.820068777,0.033954486,0.764722109,2016
India,4.046111107,8.768212318,0.606767476,59.70000076,0.88585043,-0.053620495,0.780802786,2017
India,3.818068743,8.830280304,0.638051987,60.09999847,0.890443385,0.071806304,0.80526334,2018
India,3.573299885,8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,0.772042692,2019
