,Country,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],Workforce Ratio Five Year Average,Workforce Ratio Five Year Median,Workforce Ratio Five Year Max,Workforce Ratio Five Year Min,Workforce Ratio Five Year STD
190,Peru,81.00581086,82.08206915,82.12191228,82.53300001,82.54466027,82.05749051,82.12191228,82.54466027,81.00581086,0.627341219
191,Philippines,65.46797908,64.01687328,61.34469377,62.76578299,62.92827601,63.30472103,62.92827601,65.46797908,61.34469377,1.537914021
192,Poland,74.84074639,74.41083142,74.07659656,74.34303948,74.28925265,74.3920933,74.34303948,74.84074639,74.07659656,0.280250505
193,Portugal,83.75590787,83.34656953,83.66741239,84.49103673,84.57132904,83.96645111,83.75590787,84.57132904,83.34656953,0.538301302
194,Post-demographic dividend,79.04980139,79.37919657,79.82850164,80.13664928,80.24000138,79.72683005,79.82850164,80.24000138,79.04980139,0.505185751
195,Pre-demographic dividend,80.90421966,81.12747002,81.36220601,81.6969061,81.64328699,81.34681776,81.36220601,81.6969061,80.90421966,0.337156921
196,Puerto Rico,64.87273474,65.20700588,65.47857745,65.79049137,65.87500175,65.44476224,65.47857745,65.87500175,64.87273474,0.415187212
197,Qatar,61.90626108,61.33400814,60.78620271,60.27822166,59.97149669,60.85523806,60.78620271,61.90626108,59.97149669,0.783036205
198,Romania,70.15462635,69.82788274,70.94053762,70.30582651,69.99968887,70.24571242,70.15462635,70.94053762,69.82788274,0.427142149
199,Russian Federation,77.88554933,77.86832463,77.76932576,78.10958109,78.04065274,77.93468671,77.88554933,78.10958109,77.76932576,0.137821892
200,Rwanda,99.89162131,100.1492359,100.3528609,100.5838063,100.6849716,100.3324992,100.3528609,100.6849716,99.89162131,0.322399365
201,Samoa,56.12572175,56.28105672,56.25717728,56.15173133,56.08770804,56.18067902,56.15173133,56.28105672,56.08770804,0.084305308
203,Sao Tome and Principe,54.721867,54.99412178,55.32898666,55.72390461,55.69584497,55.292945,55.32898666,55.72390461,54.721867,0.437258211
204,Saudi Arabia,27.93709104,29.32980944,28.68714855,28.12227773,28.21798513,28.45886238,28.21798513,29.32980944,27.93709104,0.559959767
205,Senegal,59.83685469,60.05457078,60.37608518,60.77447195,60.938207,60.39603792,60.37608518,60.938207,59.83685469,0.465522134
206,Serbia,73.21124356,74.69174841,75.54475521,75.37380609,75.47683563,74.85967778,75.37380609,75.54475521,73.21124356,0.98235412
208,Sierra Leone,96.22323111,96.86239766,97.45024575,98.06486973,97.98252605,97.31665406,97.45024575,98.06486973,96.22323111,0.778296467
209,Singapore,78.84901398,79.28519771,78.6720849,79.1942006,79.14634342,79.02936812,79.14634342,79.28519771,78.6720849,0.258108825
211,Slovak Republic,76.68248924,77.35569397,77.97568582,77.27682239,77.37314755,77.33276779,77.35569397,77.97568582,76.68248924,0.458664313
212,Slovenia,82.64987001,84.63389338,84.72769593,84.01117745,84.19418232,84.04336382,84.19418232,84.72769593,82.64987001,0.834062764
213,Small states,74.08531521,74.06834446,74.2505794,74.33940303,74.39509744,74.22774791,74.2505794,74.39509744,74.06834446,0.147216288
214,Solomon Islands,96.09745122,96.08030587,96.04722271,96.00635811,95.96147125,96.03856183,96.04722271,96.09745122,95.96147125,0.055375024
215,Somalia,28.81051702,29.08633242,29.33309952,29.55756968,29.55440698,29.26838512,29.33309952,29.55756968,28.81051702,0.321095994
216,South Africa,77.6986792,77.56256836,78.56385078,78.85224995,79.06102117,78.34767389,78.56385078,79.06102117,77.56256836,0.6796651
217,South Asia,31.09062559,30.95844114,31.10063853,30.94951687,30.88211806,30.99626804,30.95844114,31.10063853,30.88211806,0.095450656
218,South Asia (IDA & IBRD),31.09062559,30.95844114,31.10063853,30.94951687,30.88211806,30.99626804,30.95844114,31.10063853,30.88211806,0.095450656
